Journey Event ID,Journey ID,Event Time Stamp,Latitude,Longitude,Event Type ID,Event Description,Time Elapsed,Distance From Previous Position,Average Speed From Prev Point,Satellite Count,HDOP Value
8609688671,124970245,15 Nov 2021 18:04:49:500,51.5762,-0.2175187,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,18.0,158.0,18.61111111,3.0,1.799999952
8609688672,124970245,15 Nov 2021 18:05:04:500,51.57548,-0.2193752,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,15.0,155.0,20.93333333,14.0,0.699999988
8609688673,124970245,15 Nov 2021 18:05:27:500,51.57512,-0.2191153,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,23.0,154.0,14.73913043,12.0,0.699999988
8609688674,124970245,15 Nov 2021 18:05:54:500,51.57598,-0.2175648,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,27.0,150.0,12.11111111,14.0,0.699999988
8609688675,124970245,15 Nov 2021 18:06:34:500,51.57513,-0.2159767,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,40.0,153.0,7.775,14.0,0.699999988
8609688676,124970245,15 Nov 2021 18:13:03:500,51.57481,-0.2155185,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,389.0,89.0,0.290488432,16.0,0.600000024
8609688677,124970245,15 Nov 2021 18:13:04:000,51.57481,-0.2155185,2,RTP_EVT_JOURNEY_END,1.0,,,,
8609744576,124972012,15 Nov 2021 18:14:09:000,51.57481,-0.2154825,1,RTP_EVT_JOURNEY_START,,,,,
8609744577,124972012,15 Nov 2021 18:15:06:600,51.57561,-0.216945,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,57.0,152.0,5.620689655,15.0,0.600000024
8609744578,124972012,15 Nov 2021 18:15:36:500,51.57459,-0.2183035,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,30.0,151.0,11.0,15.0,0.600000024
8609744579,124972012,15 Nov 2021 18:16:09:500,51.57475,-0.22018,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,33.0,152.0,9.242424242,15.0,0.899999976
8609744580,124972012,15 Nov 2021 18:16:33:500,51.57377,-0.2216118,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,24.0,151.0,13.375,13.0,0.699999988
8609744581,124972012,15 Nov 2021 18:16:51:500,51.57268,-0.2224093,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,18.0,153.0,18.38888889,14.0,0.600000024
8609744586,124972012,15 Nov 2021 18:18:15:500,51.57257,-0.2231415,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,14.0,153.0,23.42857143,15.0,0.600000024
8609744587,124972012,15 Nov 2021 18:18:32:500,51.57343,-0.2221772,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,17.0,157.0,19.88235294,15.0,0.600000024
8609744588,124972012,15 Nov 2021 18:18:53:500,51.57442,-0.2206618,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,21.0,153.0,15.61904762,14.0,0.600000024
8609744589,124972012,15 Nov 2021 18:19:10:500,51.57553,-0.2194107,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,17.0,151.0,19.41176471,13.0,0.699999988
8609744590,124972012,15 Nov 2021 18:19:23:500,51.57635,-0.217676,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,13.0,152.0,25.46153846,12.0,0.699999988
8609744591,124972012,15 Nov 2021 18:19:44:500,51.57641,-0.2163245,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,21.0,151.0,15.57142857,14.0,0.699999988
8609744592,124972012,15 Nov 2021 18:20:03:500,51.57616,-0.2159425,7,RTP_EVT_EXCESSIVE_ACCELERATION,19.0,,,,
8609744593,124972012,15 Nov 2021 18:20:24:500,51.57589,-0.2147278,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,21.0,155.0,8.25,15.0,0.600000024
8609744594,124972012,15 Nov 2021 18:20:45:500,51.57655,-0.2127155,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,21.0,159.0,16.61904762,14.0,0.699999988
8609744595,124972012,15 Nov 2021 18:21:08:500,51.5774,-0.2136288,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,23.0,154.0,14.30434783,15.0,0.600000024
8609744596,124972012,15 Nov 2021 18:21:35:500,51.57841,-0.2136515,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,27.0,155.0,12.37037037,13.0,0.699999988
8609744598,124972012,15 Nov 2021 18:22:06:500,51.58059,-0.2110255,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,18.0,151.0,17.66666667,12.0,0.699999988
8610685283,125001994,16 Nov 2021 10:21:37:000,51.58747,-0.2208807,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,17.0,156.0,19.76470588,8.0,1.0
8610685284,125001994,16 Nov 2021 10:24:07:000,51.5886,-0.2214927,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,150.0,154.0,1.953333333,9.0,0.899999976
8610685285,125001994,16 Nov 2021 10:24:30:000,51.58975,-0.2221715,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,23.0,155.0,14.56521739,9.0,1.100000024
8610685286,125001994,16 Nov 2021 10:24:54:000,51.58995,-0.2243078,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,24.0,151.0,13.16666667,8.0,1.100000024
8610685287,125001994,16 Nov 2021 10:25:18:000,51.58857,-0.2242025,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,24.0,154.0,14.25,9.0,0.899999976
8610685288,125001994,16 Nov 2021 10:25:41:000,51.5894,-0.2233057,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,23.0,151.0,14.17391304,9.0,0.899999976
8610685289,125001994,16 Nov 2021 10:26:11:000,51.58983,-0.2218583,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,30.0,154.0,10.56666667,10.0,0.800000012
8610685290,125001994,16 Nov 2021 10:26:30:000,51.58858,-0.2213075,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,19.0,152.0,17.21052632,9.0,0.899999976
8610685291,125001994,16 Nov 2021 10:26:43:000,51.58725,-0.2207063,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,13.0,154.0,25.76923077,8.0,1.0
